head,relation,tail,prompt,response,pred_relation,true_relation,verification,pred_verification,pred_relation_2
break,also see,chip,What is the relationship between 'break' and 'chip'?,'break' [hyponym] 'chip',['hyponym'],also see,"['False. Reason: There is no direct common sense relationship between the verbs ""break"" and ""chip"". While both actions involve causing damage or fragmentation to an object, they are not inherently related in terms of a semantic or conceptual relationship in a knowledge graph.']",['false'],"['hypernym', 'verb group', 'similar to']"
nutrition,derivationally related form,nutritional,What is the relationship between 'nutrition' and 'nutritional'?,'nutrition' [derivationally related form] 'nutritional',['derivationally related form'],derivationally related form,"[""False. Reason: 'Nutritional' is an adjective used to describe something related to nutrition. It is not a relationship between two entities, but rather a characteristic of something related to nutrition.""]",['false'],['derivationally related form']
reception,derivationally related form,receptionist,What is the relationship between 'reception' and 'receptionist'?,'reception' [hyponym] 'receptionist'; 'reception' [has part] 'receptionist'; 'reception' [member meronym] 'receptionist',"['hyponym', 'has part', 'member meronym']",derivationally related form,"[""False. Reason: A reception is typically a physical area where visitors are received, while a receptionist is a person employed to manage the reception area by greeting visitors, answering phone calls, and handling administrative tasks. The relationship between 'reception' and 'receptionist' is not a direct relationship in a knowledge graph based on common sense."", 'True. Reason: In a typical setting, a receptionist is someone who works at a reception, often in a professional setting like an office or a hotel. The receptionist is responsible for attending to visitors, guests, or clients who arrive at the reception area, hence indicating a direct relationship between ""reception"" and ""receptionist"".', ""True. Reason: A receptionist is a person who is typically stationed at the reception area of a place, such as an office or hotel, to greet and assist visitors and clients. Therefore, there is a direct relationship between 'reception' (the area where visitors are received) and 'receptionist' (the person who manages the reception area).""]","['false', 'true', 'true']","['instance hyponym', 'has part', 'member meronym']"
gastropoda,member meronym,pulmonata,What is the relationship between 'gastropoda' and 'pulmonata'?,'gastropoda' [instance hypernym] 'pulmonata',['instance hypernym'],member meronym,"['True. Reason: In biology, gastropoda and pulmonata are both taxonomic classes within the phylum Mollusca. Pulmonata is a subclass of gastropoda, which includes snails and slugs that have a lung-like structure called a pallial cavity for breathing air.']",['true'],['hyponym']
temperature,hypernym,physical_property,What is the relationship between 'temperature' and 'physical_property'?,'temperature' [instance hyponym] 'physical_property',['instance hyponym'],hypernym,"[""False. Reason: 'Temperature' is not a type of 'physical_property'; instead, 'temperature' is an attribute or measurement associated with physical properties.""]",['false'],"['synset domain topic of', 'hypernym']"
mihrab,synset domain topic of,islam,What is the relationship between 'mihrab' and 'islam'?,"1. 'mihrab' [instance of] 'islam'
2. 'mihrab' [related to] 'islam'
3. 'mihrab' [part of] 'islam'","['instance of', 'related to', 'part of']",synset domain topic of,"['False. Reason: A mihrab is a niche in the wall of a mosque that indicates the direction of the Kaaba in Mecca, which is the holiest site in Islam. Therefore, a mihrab is a feature commonly found in mosques and is associated with the practice of Islam, but it is not a direct or explicit relationship with Islam itself.', 'False. Reason: Mihrab is a niche in the wall of a mosque indicating the direction of the Kaaba in Mecca for Muslims to face while praying. Islam is a religion followed by Muslims, and Mihrab is a physical feature within a mosque associated with the practice of Islam, but they do not have a direct relationship besides this architectural and religious connection.', 'False. Reason: A mihrab is a niche in a mosque that indicates the direction of prayer (qibla) and is not directly related to the religion of Islam itself. Instead, it is a physical marker used in the practice of Islamic worship.']","['false', 'false', 'false']","['instance of', 'part of', 'similar to', 'member of domain topic', 'has part']"
tadarida,hypernym,mammal_genus,What is the relationship between 'tadarida' and 'mammal_genus'?,1. 'tadarida' [hypernym] 'mammal_genus',['hypernym'],hypernym,"['False. Reason: Tadarida is a genus of bats, so the relationship should be ""is_a"" or ""belongs_to"" instead of ""mammal_genus"", which implies a higher taxonomic category.']",['false'],"['instance hypernym', 'hypernym']"
authorship,hypernym,initiation,What is the relationship between 'authorship' and 'initiation'?,'authorship' [hypernym] 'initiation',['hypernym'],hypernym,"['False. Reason: There is no direct relationship between the concept of ""authorship"" and ""initiation"". ""Authorship"" typically refers to the act of writing or creating a piece of work, such as a book or an article, while ""initiation"" usually refers to the beginning or introduction of something, such as a process or a ritual. These two concepts are not inherently related in a knowledge graph based on common sense.']",['false'],['has part']
ciconiiformes,member meronym,ardeidae,What is the relationship between 'ciconiiformes' and 'ardeidae'?,'ciconiiformes' [instance hyponym] 'ardeidae',['instance hyponym'],member meronym,"[""False. Reason: 'Ciconiiformes' and 'Ardeidae' are both taxonomic groups within the class Aves (birds), but they are not directly related in a specific relationship such as parent-child, subclass, or sibling in a typical knowledge graph context.""]",['false'],['hypernym']
piciform_bird,hypernym,bird,What is the relationship between 'piciform_bird' and 'bird'?,'piciform_bird' [hyponym] 'bird',['hyponym'],hypernym,"['False. Reason: \'Piciform_bird\' is a subclass of \'bird\' in the taxonomy hierarchy, so the relationship between \'piciform_bird\' and \'bird\' would be ""is_a"" or ""subclass_of"", rather than a distinct relationship.']",['false'],"['hyponym', 'instance hyponym']"
moraceae,member meronym,morus,What is the relationship between 'moraceae' and 'morus'?,'moraceae' [hypernym] 'morus',['hypernym'],member meronym,"[""False. Reason: 'Moraceae' is a family of plants which includes the genus 'Morus', but 'Morus' is not a direct relationship of 'Moraceae'. The relationship between 'Moraceae' and 'Morus' is that 'Morus' is a genus within the family 'Moraceae'.""]",['false'],"['hypernym', 'member hyponym']"
lard,derivationally related form,lard,What is the relationship between 'lard' and 'lard'?,'lard' [synset domain usage] 'lard'; 'lard' [has part] 'lard',"['synset domain usage', 'has part']",derivationally related form,"['False. Reason: In a knowledge graph, an entity cannot have a relationship with itself.', ""This is a self-referential question, and in the context of a knowledge graph, it would not make sense to establish a relationship between 'lard' and 'lard'. Therefore, the relationship between 'lard' and 'lard' would be non-existent. \nTrue. Reason: In a knowledge graph, self-referential relationships are typically not defined.""]","['false', 'not found']","['synset domain usage of', 'similar to', 'verb group', 'has part', 'instance hypernym', 'instance hyponym', 'member meronym', 'hypernym', 'hyponym', 'member holonym', 'part of', 'derivationally related form', 'also see', 'member of domain region', 'member of domain topic', 'member of domain usage']"
number,derivationally related form,numeral,What is the relationship between 'number' and 'numeral'?,'number' [synset domain topic of] 'numeral',['synset domain topic of'],derivationally related form,"[""True. Reason: A numeral is a symbol or group of symbols used to represent a number. Therefore, there is a relationship between 'number' and 'numeral'.""]",['true'],"['hypernym', 'synset domain region of', 'synset domain topic of']"
skimmer,hypernym,cooking_utensil,What is the relationship between 'skimmer' and 'cooking_utensil'?,'skimmer' [hypernym] 'cooking_utensil'; 'skimmer' [has part] 'cooking_utensil',"['hypernym', 'has part']",hypernym,"['False. Reason: A skimmer is not a type of cooking utensil. A skimmer is a cooking tool used to skim off surface fat or foam from liquids while a cooking utensil refers to tools used for preparing or cooking food such as pots, pans, knives, and spoons.', 'False. Reason: A skimmer is not typically considered a type of cooking utensil. Skimmers are usually used for removing foam or large particles from liquids, while cooking utensils refer to tools like pots, pans, knives, etc.']","['false', 'false']","['hypernym', 'instance hyponym']"
dominate,hypernym,control,What is the relationship between 'dominate' and 'control'?,'dominate' [verb group] 'control',['verb group'],hypernym,"[""False. Reason: While 'dominate' and 'control' are related in the sense that both involve having power or authority over something or someone, they are not the same. 'Dominate' typically implies a more strong or overwhelming influence or power, while 'control' can be more neutral and may involve more managing or directing rather than overpowering.""]",['false'],['verb group']
cakile,hypernym,dilleniid_dicot_genus,What is the relationship between 'cakile' and 'dilleniid_dicot_genus'?,'cakile' [hypernym] 'dilleniid_dicot_genus',['hypernym'],hypernym,"[""I do not have specific knowledge about the relationship between 'cakile' and 'dilleniid_dicot_genus'.""]",['not found'],['hypernym']
retrench,hypernym,reduce,What is the relationship between 'retrench' and 'reduce'?,'retrench' [synonym] 'reduce',['synonym'],hypernym,"[""True. Reason: In a knowledge graph, the relationship between 'retrench' and 'reduce' would be True. Both words are synonymous and can be used interchangeably to convey the concept of scaling back or cutting down on something.""]",['true'],"['similar to', 'verb group']"
