head,relation,tail,Label,head_id,relation_id,tail_id,prompt,response,pred_relation,true_relation,verification
Herbert Grönemeyer,country of citizenship,Australia,0,Q275247,P27,Q408,What is the relationship between 'Herbert Grönemeyer' and 'Australia'?,Relationship is ambiguous,['relationship is ambiguous'],relationship is ambiguous,['relationship is ambiguous']
"""Weird Al"" Yankovic",record label,Atlantic Records,0,Q8349,P264,Q202440,"What is the relationship between '""Weird Al"" Yankovic' and 'Atlantic Records'?","""Weird Al"" Yankovic [record label] Atlantic Records",['record label'],relationship is ambiguous,"['True. Reason: ""Weird Al"" Yankovic was signed to Atlantic Records from 1984 to 1990, where he released several successful albums.']"
Walt Disney Records,founded by,Debby Ryan,0,Q54860,P112,Q204005,What is the relationship between 'Walt Disney Records' and 'Debby Ryan'?,'Walt Disney Records' [employer] 'Debby Ryan'; 'Debby Ryan' [record label] 'Walt Disney Records',"['employer', 'record label']",relationship is ambiguous,"['False. Reason: Walt Disney Records is a record label and not an employer in the sense of hiring individual artists. Debby Ryan might have been signed to Walt Disney Records to release music, but the relationship should be expressed differently, such as ""Debby Ryan [has been signed with] Walt Disney Records.""', 'False. Reason: Walt Disney Records is a record label owned by The Walt Disney Company, while Debby Ryan is an actress and singer who has released music under different record labels, not necessarily Walt Disney Records.']"
Johnny Hallyday,country of citizenship,Switzerland,0,Q212015,P27,Q39,What is the relationship between 'Johnny Hallyday' and 'Switzerland'?,"'Johnny Hallyday' [residence] 'Switzerland'; 
'Johnny Hallyday' [country] 'Switzerland'; 
Relationship is ambiguous","['residence', 'country', 'relationship is ambiguous']",relationship is ambiguous,"['False. Reason: Johnny Hallyday was a well-known French singer and actor who primarily resided in France throughout his life.', 'False. Reason: Johnny Hallyday is a famous French singer, so he is associated with France rather than Switzerland.', 'relationship is ambiguous']"
Madonna,"languages spoken, written, or signed",French,1,Q1744,P1412,Q150,What is the relationship between 'Madonna' and 'French'?,"1. Madonna [languages spoken, written, or signed] French","['languages spoken, written, or signed']","languages spoken, written, or signed","['True. Reason: Madonna is known to speak French, among other languages, so the relationship between Madonna and French as a language spoken is true.']"
Dalida,place of death,Rome,0,Q539171,P20,Q220,What is the relationship between 'Dalida' and 'Rome'?,Relationship is ambiguous,['relationship is ambiguous'],relationship is ambiguous,['relationship is ambiguous']
Cher,occupation,guitarist,0,Q12003,P106,Q855091,What is the relationship between 'Cher' and 'guitarist'?,Relationship is ambiguous,['relationship is ambiguous'],relationship is ambiguous,['relationship is ambiguous']
Tupac Shakur,residence,Brooklyn,0,Q6107,P551,Q18419,What is the relationship between 'Tupac Shakur' and 'Brooklyn'?,'Tupac Shakur' [place of birth] 'Brooklyn'; 'Tupac Shakur' [residence] 'Brooklyn',"['place of birth', 'residence']",relationship is ambiguous,"['False. Reason: Tupac Shakur was born in East Harlem, New York City, not Brooklyn.', 'False. Reason: Tupac Shakur was not known to have resided in Brooklyn. He was primarily associated with the West Coast, particularly California.']"
Joe Jonas,country of citizenship,Trinidad and Tobago,0,Q191088,P27,Q754,What is the relationship between 'Joe Jonas' and 'Trinidad and Tobago'?,Relationship is ambiguous,['relationship is ambiguous'],relationship is ambiguous,['relationship is ambiguous']
Bobby Darin,record label,Atco Records,1,Q311267,P264,Q585643,What is the relationship between 'Bobby Darin' and 'Atco Records'?,'Bobby Darin' [record label] 'Atco Records',['record label'],record label,"['True. Reason: Bobby Darin was signed to Atco Records during his career, making Atco Records his record label.']"
