head,relation,tail,prompt,response,pred_relation,true_relation,verification,pred_verification,pred_relation_2
break,also see,chip,What is the relationship between 'break' and 'chip'?,'break' [verb group] 'chip',['verb group'],also see,"[""False. Reason: The verb break cannot be applied directly to the noun 'chip' to form a valid or common sense verb group. The phrase suggests an action rather than a commonly recognized relationship.""]",['false'],['has part']
nutrition,derivationally related form,nutritional,What is the relationship between 'nutrition' and 'nutritional'?,'nutrition' [derivationally related form] 'nutritional',['derivationally related form'],derivationally related form,"['True. Reason: The term ""nutritional"" is a derivationally related form of ""nutrition"". In other words, ""nutritional"" is a word that has been derived from ""nutrition"" by adding a suffix.']",['true'],"['derivationally related form', 'derivationally related form']"
reception,derivationally related form,receptionist,What is the relationship between 'reception' and 'receptionist'?,'reception' [has part] 'receptionist',['has part'],derivationally related form,"['True. Reason: A reception is typically manned by a receptionist, who is a part of the reception structure.']",['true'],"['has part', 'has part']"
gastropoda,member meronym,pulmonata,What is the relationship between 'gastropoda' and 'pulmonata'?,'gastropoda' [hypernym] 'pulmonata',['hypernym'],member meronym,"['True. Reason: Pulmonata is a subclass under the class Gastropoda, hence it can be said that Gastropoda is a hypernym of Pulmonata.']",['true'],"['hypernym', 'hypernym']"
temperature,hypernym,physical_property,What is the relationship between 'temperature' and 'physical_property'?,'temperature' [instance hyponym] 'physical_property',['instance hyponym'],hypernym,"[""True. Reason: Temperature is a specific example (or 'instance hyponym') of a physical property, which refers to a characteristic of matter that can be observed or measured without changing its chemical composition.""]",['true'],"['instance hyponym', 'instance hyponym']"
mihrab,synset domain topic of,islam,What is the relationship between 'mihrab' and 'islam'?,'mihrab' [member of domain topic] 'islam',['member of domain topic'],synset domain topic of,['True. Reason: A Mihrab is indeed part of the domain topic of Islam. It is a niche in the wall of a mosque that indicates the direction of the Kaaba in Mecca and hence the direction that Muslims should face when praying.'],['true'],"['member of domain topic', 'member of domain topic']"
tadarida,hypernym,mammal_genus,What is the relationship between 'tadarida' and 'mammal_genus'?,Tadarida [instance hyponym] mammal_genus,['instance hyponym'],hypernym,"['True. Reason: Tadarida is a genus of bats, which are mammals. Therefore, it is an instance of a mammal genus.']",['true'],"['instance hyponym', 'instance hyponym']"
authorship,hypernym,initiation,What is the relationship between 'authorship' and 'initiation'?,'authorship' [also see] 'initiation',['also see'],hypernym,"['False. Reason: The concept ""also see"" is generally used in bibliographies or to suggest further reading, it does not establish an ""authorship"" relationship with ""initiation"". The relationship is not valid or understandable in this context.']",['false'],['synset domain topic of']
ciconiiformes,member meronym,ardeidae,What is the relationship between 'ciconiiformes' and 'ardeidae'?,'ardeidae' [part of] 'ciconiiformes',['part of'],member meronym,"['False. Reason: Ardeidae is a part of Ciconiiformes, not the other way around. Ardeidae is a family within the order Ciconiiformes, which includes herons, egrets, and bitterns.']",['false'],['hypernym']
piciform_bird,hypernym,bird,What is the relationship between 'piciform_bird' and 'bird'?,'piciform_bird' [hyponym] 'bird',['hyponym'],hypernym,"[""True. Reason: The relationship is true, as 'piciform bird' is a sub-category or a specific type of 'bird'. Thus, the term 'piciform bird' is a hyponym of 'bird'.""]",['true'],"['hyponym', 'hypernym']"
moraceae,member meronym,morus,What is the relationship between 'moraceae' and 'morus'?,'morus' [member of] 'moraceae',['member of'],member meronym,"['False. Reason: The relationship is the other way around. Morus (Mulberry) is a member of the Moraceae family, not the other way around.']",['false'],['hypernym']
lard,derivationally related form,lard,What is the relationship between 'lard' and 'lard'?,'lard' [similar to] 'lard',['similar to'],derivationally related form,"['True. Reason: An entity is always similar to itself; hence, lard is similar to lard.']",['true'],"['similar to', 'similar to']"
number,derivationally related form,numeral,What is the relationship between 'number' and 'numeral'?,'number' [similar to] 'numeral',['similar to'],derivationally related form,"['True. Reason: Both ""number"" and ""numeral"" refer to a mathematical concept that represents a quantity. Therefore, they are similar to each other.']",['true'],"['similar to', 'similar to']"
skimmer,hypernym,cooking_utensil,What is the relationship between 'skimmer' and 'cooking_utensil'?,'skimmer' [instance hyponym] 'cooking_utensil',['instance hyponym'],hypernym,['True. Reason: A skimmer is indeed a type of cooking utensil.'],['true'],"['instance hyponym', 'part of']"
dominate,hypernym,control,What is the relationship between 'dominate' and 'control'?,'dominate' [similar to] 'control',['similar to'],hypernym,"[""False. Reason: While 'dominate' and 'control' are related terms with overlapping meaning in some contexts, they are not synonymous. Dominating refers to having power and influence over, while control refers to the power to influence or direct people's behavior or the course of events. Both concepts involve exerting influence, but a relationship of similarity doesn't necessarily means they are the same.""]",['false'],['synset domain topic of']
cakile,hypernym,dilleniid_dicot_genus,What is the relationship between 'cakile' and 'dilleniid_dicot_genus'?,'cakile' [member of domain topic] 'dilleniid_dicot_genus',['member of domain topic'],hypernym,"['True. Reason: Cakile is a genus of flowering plants, and it is indeed a member of the domain topic Dilleniid dicot genus.']",['true'],"['member of domain topic', 'member of domain topic']"
