head,relation,tail,prompt,response,pred_relation,true_relation,verification,pred_verification,pred_relation_2
break,also see,chip,What is the relationship between 'break' and 'chip'?,1. 'break' [synset domain topic of] 'chip'; 2. 'break' [verb group] 'chip'; 3. 'break' [similar to] 'chip'; 4. 'break' [hyponym] 'chip'; 5. 'break' [derivationally related form] 'chip'; 6. 'break' [also see] 'chip'.,"['synset domain topic of', 'verb group', 'similar to', 'hyponym', 'derivationally related form', 'also see']",also see,"['False. Reason: The phrase structure is quite broken and it is hard to identify a clear relationship. However, ""break"" does not usually have a ""synset domain topic of"" relationship with ""chip"".', 'False. Reason: The phrase ""break verb group chip"" does not provide a clear or logical relationship between two discernible entities. As such, it cannot be verified as true according to common sense or knowledge.', 'False. Reason: ""Break"" and ""chip"" may both be verbs or nouns. However, as standalone terms, they are not contextually similar. A specific context or additional entities would bring more clarity to this comparison. In general, ""break"" means to separate into pieces as a result of a blow, shock, or strain, while a ""chip"" can refer to a small piece of solid material detached from a larger piece, just like a potato chip or computer microchip. Their meanings are not similar enough to confirm the presence of a \'similar to\' relationship.', ""True. Reason: 'Break' is a hyponym of 'chip' in the sense that breaking is a broader concept and chipping is a specific type of breaking."", 'False. Reason: The phrase ""derivationally related form"" suggests terms that have originated from the same root. ""Break"" and ""chip"" are both English words, but they do not share a derivative relationship. They represent different actions and do not originate from the same source term.', 'False. Reason: The relationship ""also see"" is undefined in this context, as \'break\' and \'chip\' are related mostly in a context of damaging something, but the relationship doesn\'t convey that. Also, \'also see\' typically suggests a related reading or topic, which doesn\'t make sense in this case.']","['false', 'false', 'false', 'true', 'false', 'false']","['hyponym', 'hyponym', 'hypernym', 'part of', 'has part', 'synset domain usage of', 'member of domain usage']"
nutrition,derivationally related form,nutritional,What is the relationship between 'nutrition' and 'nutritional'?,1. Nutrition [derivationally related form] Nutritional; 2. Nutrition [similar to] Nutritional; 3. Nutrition [also see] Nutritional.,"['derivationally related form', 'similar to', 'also see']",derivationally related form,"[""True. Reason: The word 'nutritional' is derivationally related to the word 'nutrition' as it is formed from the base word 'nutrition' with the addition of the suffix '-al'."", 'True. Reason: Both words, ""nutrition"" and ""nutritional"", originate from the same root word and therefore have similar meanings. Grounded in this linguistic commonality, they do relate to each other in terms of their concepts about diet, nourishment, and health.', ""True. Reason: Both 'nutrition' and 'nutritional' are related terms in the context of diet and health. Thus, one might also explore 'nutritional' if they are looking into 'nutrition'.""]","['true', 'true', 'true']","['derivationally related form', 'similar to', 'also see', 'derivationally related form', 'synset domain topic of', 'also see', 'similar to']"
reception,derivationally related form,receptionist,What is the relationship between 'reception' and 'receptionist'?,1. Reception [has part] Receptionist; 2. Reception [synset domain topic of] Receptionist; 3. Reception [derivationally related form] Receptionist; 4. Reception [also see] Receptionist; 5. Reception [similar to] Receptionist.,"['has part', 'synset domain topic of', 'derivationally related form', 'also see', 'similar to']",derivationally related form,"['True. Reason: A reception typically includes a receptionist as part of its components to receive, welcome and direct visitors.', 'True. Reason: The domain or field of work for a receptionist is indeed often referred to as ""reception"". They perform administrative tasks including receiving and directing visitors, answering phone calls, and providing general information, all of which fall under the category of reception.', ""True. Reason: The word 'receptionist' is derived from the root word 'reception'. These two words are semantically related as a receptionist is a person who greets and assists visitors at a reception desk or office."", 'True. Reason: The term ""reception"" is commonly associated with the role of a ""receptionist"" who typically works in a reception area. Therefore, it is common in a knowledge graph to have a relation suggesting one might also want to look at \'receptionist\' when searching for \'reception\'.', ""False. Reason: While they may share a root word, they're not similar. A reception is an act or process of receiving, or a social gathering, whereas a receptionist is a person who greets and assists visitors and clients.\n""]","['true', 'true', 'true', 'true', 'false']","['has part', 'synset domain topic of', 'derivationally related form', 'also see', 'has part', 'synset domain topic of', 'member of domain topic', 'derivationally related form', 'verb group']"
gastropoda,member meronym,pulmonata,What is the relationship between 'gastropoda' and 'pulmonata'?,1. Gastropoda [hypernym] Pulmonata; 2. Gastropoda [has part] Pulmonata; 3. Gastropoda [part of] Pulmonata; 4. Gastropoda [synset domain topic of ] Pulmonata.,"['hypernym', 'has part', 'part of', 'synset domain topic of ']",member meronym,"['False. Reason: Pulmonata is a suborder of Gastropoda, meaning Gastropoda is a ""hypernym"" of Pulmonata, not the other way around.', 'False. Reason: The relationship is not ""has part"", but rather ""is a class of"". Pulmonata is a subclass within the class Gastropoda, so it would be correct to say ""Gastropoda includes Pulmonata"", but not that Gastropoda has part Pulmonata.', ""False. Reason: Pulmonata is a subclass of Gastropoda. Therefore, it's more accurate to say Pulmonata is part of Gastropoda, not the other way around."", 'True. Reason: In taxonomy, the relationship between gastropods and pulmonates is true because Pulmonata is a subclass within the larger class Gastropoda (snails and slugs). So, Gastropoda is indeed a domain topic of Pulmonata.']","['false', 'false', 'false', 'true']","['hyponym', 'member of domain topic', 'similar to']"
temperature,hypernym,physical_property,What is the relationship between 'temperature' and 'physical_property'?,1. Temperature [is a 'hyponym' of] Physical Property; 2. Temperature [is a 'member of domain topic' of] Physical Property; 3. Temperature [is 'similar to'] Physical Property; 4. Temperature [is a 'derivationally related form' of] Physical Property; 5. Temperature [is a 'synset domain topic of'] Physical Property.,"['is a hyponym of', 'is a member of domain topic of', 'is similar to', 'is a derivationally related form of', 'is a synset domain topic of']",hypernym,"[""True. Reason: In the context of physics and chemistry, temperature is a specific type of physical property being a measure of the average kinetic energy of the particles in a system. Hence, it can be considered a hyponym (specific form) of the broader term 'physical property'."", 'True. Reason: Temperature is a physical property, which is a fundamental concept in physics, making it a member of the domain topic of physical property.', 'True. Reason: Temperature is considered a type of physical property because it describes a state of matter, similar to hardness or density.', 'True. Reason: Temperature is in fact a derivatively related form of a physical property. It is not a physical property in itself, but it is derived from the kinetic energy of particles and can be considered as a measure of this physical property.', ""True. Reason: The topic of temperature, as a measurement of hotness or coldness, falls under the domain of physical properties. Such physical properties are intrinsic characteristics that can be observed or measured without changing the form of a substance. Therefore, it's logical to say that temperature is a domain topic of physical property.""]","['true', 'true', 'true', 'true', 'true']","['hypernym', 'part of', 'member of domain topic']"
mihrab,synset domain topic of,islam,What is the relationship between 'mihrab' and 'islam'?,1. Mihrab [member of domain topic] Islam; 2. Mihrab [synset domain topic of] Islam; 3. Mihrab [part of] Islam,"['member of domain topic', 'synset domain topic of', 'part of']",synset domain topic of,"['True. Reason: A mihrab is a niche in the wall of a mosque that indicates the direction of Mecca, which is significant in Islamic practice. Therefore, the mihrab is indeed part of the domain topic of Islam.', 'True. Reason: The term ""mihrab"" is specifically related to the domain of Islam, as it signifies a niche in the wall of a mosque that indicates the direction of Mecca.', 'True. Reason: The mihrab is a feature in mosques, which are Islamic religious structures. The concept and usage of a mihrab are part of Islamic architectural and religious practices, making it a part of Islam.']","['true', 'true', 'true']","['member of domain topic', 'synset domain topic of', 'part of', 'member of domain topic', 'synset domain topic of', 'part of', 'member of domain region', 'synset domain region of', 'member of domain usage', 'synset domain usage of']"
tadarida,hypernym,mammal_genus,What is the relationship between 'tadarida' and 'mammal_genus'?,1. Tadarida [instance hyponym] Mammal_genus; 2. Tadarida [part of] Mammal_genus; 3. Tadarida [member of domain topic] Mammal_genus; 4. Tadarida [hyponym] Mammal_genus.,"['instance hyponym', 'part of', 'member of domain topic', 'hyponym']",hypernym,"[""True. Reason: Tadarida is a genus of bats and falls under the category of mammalian genus. So it can be considered an 'instance hyponym' of mammal genus. "", 'True. Reason: Tadarida, a genus of bats, is indeed a part of the mammal genus. Genus is a rank in the biological classification (taxonomy) and Tadarida is classified under it in the mammal category.', 'True. Reason: Tadarida is a genus of bats, and bats are a part of the mammal genus. So, it is correct to say that Tadarida is a member of the domain topic of mammal_genus.', 'True. Reason: Tadarida is a genus of bats, which are included in the group of mammals. This makes it a hyponym of mammal genus.']","['true', 'true', 'true', 'true']","['instance hyponym', 'part of', 'member of domain topic', 'hyponym', 'instance hyponym', 'part of', 'member of domain topic']"
authorship,hypernym,initiation,What is the relationship between 'authorship' and 'initiation'?,1. Authorship [synset domain topic of] Initiation; 2. Authorship [similar to] Initiation;,"['synset domain topic of', 'similar to']",hypernym,"['False. Reason: The relationship suggesting ""authorship"" being the ""synset domain topic of"" ""initiation"" does not make sense. Authorship typically refers to the act of creating a piece of work, such as a book. Initiation refers to the action of starting something, such as a process or action. The two concepts do not have a logical or common sense relationship in the suggested manner.', 'False. Reason: The concepts of ""authorship"" and ""initiation"" are not inherently similar. Authorship refers to the act of creating or originating something, specifically in terms of literature or ideas. On the other hand, initiation refers to the act of starting something, such as an activity or process. These are distinct concepts and so the relationship of being \'similar to\' does not hold between them.']","['false', 'false']","['also see', 'derivationally related form']"
ciconiiformes,member meronym,ardeidae,What is the relationship between 'ciconiiformes' and 'ardeidae'?,"1. ciconiiformes [has part] ardeidae;
2. ciconiiformes [hypernym] ardeidae; 
3. ciconiiformes [synset domain region of] ardeidae; 
4. ciconiiformes [synset domain topic of] ardeidae;
5. ciconiiformes [member of domain region] ardeidae; 
6. ciconiiformes [member of domain topic] ardeidae.","['has part', 'hypernym', 'synset domain region of', 'synset domain topic of', 'member of domain region', 'member of domain topic']",member meronym,"['True. Reason: Ardeidae (herons) is a family that falls under the order Ciconiiformes, so it could be said to be a part of Ciconiiformes.', ""False. Reason: The relationship is actually the opposite. Ardeidae is a family under the order Ciconiiformes. Therefore, Ardeidae should be a 'hyponym' of Ciconiiformes, not a 'hypernym'."", 'False. Reason: Based on taxonomy, Ciconiiformes and Ardeidae are different bird orders, which means they do not belong to the same taxonomical domain. Ardeidae, which includes herons, belong to the order Pelecaniformes, not Ciconiiformes. So, Ciconiiformes is not a ""synset domain region of"" Ardeidae.', 'False. Reason: The relationship is not accurate. Ardeidae (the family of herons) is a part of Ciconiiformes (a group of birds), not a domain topic of Ciconiiformes.', 'False. Reason: Ardeidae is a family within the order Ciconiiformes, not the other way around. In the biological classification, Ciconiiformes is a higher taxonomic level than Ardeidae. Therefore, Ardeidae is a member of the domain region Ciconiiformes.', 'True. Reason: Ardeidae is a family within the order Ciconiiformes, therefore it is a member of the domain topic of Ciconiiformes.']","['true', 'false', 'false', 'false', 'false', 'true']","['has part', 'member of domain topic', 'part of', 'member of domain topic', 'has part', 'instance hyponym', 'instance hypernym']"
piciform_bird,hypernym,bird,What is the relationship between 'piciform_bird' and 'bird'?,1. Piciform_bird [hyponym] bird; 2. Piciform_bird [part of] bird; 3. Piciform_bird [instance hyponym] bird; 4. Piciform_bird [member of domain topic] bird.,"['hyponym', 'part of', 'instance hyponym', 'member of domain topic']",hypernym,"['True. Reason: A ""piciform"" bird refers to a range of bird species that belong to the order Piciformes. Therefore, it is a hyponym of \'bird\' because it is a subtype or a specific instance of the general concept \'bird\'.', ""True. Reason: Piciform is a type of bird, thus it is a part of the general category of 'bird'."", 'True. Reason: The term ""instance hyponym"" refers to a relationship where one entity is a specific instance or type of another entity. Piciform bird is a specific type or instance of bird, which makes this statement true.', ""True. Reason: Piciform birds are a group of birds that includes woodpeckers, toucans, and other similar species. So, they are a part of the larger domain topic of 'birds'.""]","['true', 'true', 'true', 'true']","['hyponym', 'part of', 'instance hyponym', 'member of domain topic', 'hypernym', 'part of', 'member of domain topic', 'has part', 'synset domain topic of', 'instance hyponym', 'instance hypernym']"
