head,relation,tail,Label,head_id,relation_id,tail_id,prompt,response,pred_relation,true_relation,verification
Herbert Grönemeyer,country of citizenship,Australia,0,Q275247,P27,Q408,What is the relationship between 'Herbert Grönemeyer' and 'Australia'?,Herbert Grönemeyer [place of birth] Australia,['place of birth'],relationship is ambiguous,"['False. Reason: Herbert Grönemeyer was born in Göttingen, West Germany, not in Australia.']"
"""Weird Al"" Yankovic",record label,Atlantic Records,0,Q8349,P264,Q202440,"What is the relationship between '""Weird Al"" Yankovic' and 'Atlantic Records'?","""Weird Al"" Yankovic [record label] Atlantic Records",['record label'],relationship is ambiguous,"['False. Reason: ""Weird Al"" Yankovic is not signed with Atlantic Records. He has been signed with other record labels throughout his career, such as Scotti Brothers Records and Volcano Entertainment.']"
Walt Disney Records,founded by,Debby Ryan,0,Q54860,P112,Q204005,What is the relationship between 'Walt Disney Records' and 'Debby Ryan'?,"""Walt Disney Records [employer] Debby Ryan""",['employer'],relationship is ambiguous,"['False. Reason: Walt Disney Records is a record label owned by The Walt Disney Company and is not an employer by itself. Debby Ryan may have worked with Walt Disney Records, but it is not her direct employer.']"
Johnny Hallyday,country of citizenship,Switzerland,0,Q212015,P27,Q39,What is the relationship between 'Johnny Hallyday' and 'Switzerland'?,Johnny Hallyday [residence] Switzerland.,['residence'],relationship is ambiguous,"['False. Reason: Johnny Hallyday was a prominent French singer and actor known for living in France. While he may have spent some time in Switzerland, his primary residence was in France.']"
Madonna,"languages spoken, written, or signed",French,1,Q1744,P1412,Q150,What is the relationship between 'Madonna' and 'French'?,"Madonna [languages spoken, written, or signed] French","['languages spoken, written, or signed']","languages spoken, written, or signed",['True. Reason: Madonna is known to speak French in addition to English.']
Dalida,place of death,Rome,0,Q539171,P20,Q220,What is the relationship between 'Dalida' and 'Rome'?,Dalida [place of birth] Rome,['place of birth'],relationship is ambiguous,"['False. Reason: Dalida was actually born in Cairo, Egypt, not Rome, Italy.']"
Cher,occupation,guitarist,0,Q12003,P106,Q855091,What is the relationship between 'Cher' and 'guitarist'?,Cher [instrument] guitarist,['instrument'],relationship is ambiguous,"['False. Reason: Cher is a singer and actress, not a guitarist.']"
Tupac Shakur,residence,Brooklyn,0,Q6107,P551,Q18419,What is the relationship between 'Tupac Shakur' and 'Brooklyn'?,Tupac Shakur [place of birth] Brooklyn,['place of birth'],relationship is ambiguous,"['False. Reason: Tupac Shakur was born in East Harlem, New York City, not in Brooklyn.']"
Joe Jonas,country of citizenship,Trinidad and Tobago,0,Q191088,P27,Q754,What is the relationship between 'Joe Jonas' and 'Trinidad and Tobago'?,Relationship is ambiguous.,['relationship is ambiguous'],relationship is ambiguous,['relationship is ambiguous']
Bobby Darin,record label,Atco Records,1,Q311267,P264,Q585643,What is the relationship between 'Bobby Darin' and 'Atco Records'?,Bobby Darin [record label] Atco Records,['record label'],record label,"['True. Reason: Bobby Darin was signed to Atco Records during his career, making the relationship between Bobby Darin and Atco Records valid.']"
Gloria Trevi,country of citizenship,Japan,0,Q388035,P27,Q17,What is the relationship between 'Gloria Trevi' and 'Japan'?,"""Gloria Trevi [country of citizenship] Japan""",['country of citizenship'],relationship is ambiguous,"['False. Reason: Gloria Trevi is a Mexican singer, songwriter, and actress, so it is not true that she is a citizen of Japan.']"
