head,relation,tail,Label,head_id,relation_id,tail_id,prompt,response,pred_relation,true_relation,verification
Herbert Grönemeyer,country of citizenship,Australia,0,Q275247,P27,Q408,What is the relationship between 'Herbert Grönemeyer' and 'Australia'?,Relationship is ambiguous,['relationship is ambiguous'],relationship is ambiguous,['relationship is ambiguous']
"""Weird Al"" Yankovic",record label,Atlantic Records,0,Q8349,P264,Q202440,"What is the relationship between '""Weird Al"" Yankovic' and 'Atlantic Records'?","'""Weird Al"" Yankovic' [record label] 'Atlantic Records'",['record label'],relationship is ambiguous,"['False. Reason: ""Weird Al"" Yankovic is famously known to be signed with Scotti Brothers Records and later with Volcano Entertainment, not Atlantic Records.']"
Walt Disney Records,founded by,Debby Ryan,0,Q54860,P112,Q204005,What is the relationship between 'Walt Disney Records' and 'Debby Ryan'?,'Walt Disney Records' [record label] 'Debby Ryan',['record label'],relationship is ambiguous,"['False. Reason: Walt Disney Records is a record label, and Debby Ryan is an actress and singer associated with Disney Channel. While Debby Ryan may have released music under Walt Disney Records, the relationship between them is not directly as stated in the question.']"
Johnny Hallyday,country of citizenship,Switzerland,0,Q212015,P27,Q39,What is the relationship between 'Johnny Hallyday' and 'Switzerland'?,'Johnny Hallyday' [residence] 'Switzerland',['residence'],relationship is ambiguous,"['False. Reason: Johnny Hallyday, the French singer, is known to have lived in Switzerland for tax purposes, but his primary residence and cultural identity remain rooted in France.']"
Madonna,"languages spoken, written, or signed",French,1,Q1744,P1412,Q150,What is the relationship between 'Madonna' and 'French'?,"'Madonna' [languages spoken, written, or signed] 'French'","['languages spoken, written, or signed']","languages spoken, written, or signed","['False. Reason: Madonna is mainly known for speaking English, and there is no widely known information or indication that she speaks French fluently.']"
Dalida,place of death,Rome,0,Q539171,P20,Q220,What is the relationship between 'Dalida' and 'Rome'?,Relationship is ambiguous,['relationship is ambiguous'],relationship is ambiguous,['relationship is ambiguous']
Cher,occupation,guitarist,0,Q12003,P106,Q855091,What is the relationship between 'Cher' and 'guitarist'?,'Cher' [cast member] 'guitarist',['cast member'],relationship is ambiguous,"['False. Reason: Cher is a singer and actress, not a guitarist.']"
Tupac Shakur,residence,Brooklyn,0,Q6107,P551,Q18419,What is the relationship between 'Tupac Shakur' and 'Brooklyn'?,'Tupac Shakur' [place of birth] 'Brooklyn',['place of birth'],relationship is ambiguous,"['False. Reason: Tupac Shakur was born in East Harlem, New York City, not Brooklyn.']"
Joe Jonas,country of citizenship,Trinidad and Tobago,0,Q191088,P27,Q754,What is the relationship between 'Joe Jonas' and 'Trinidad and Tobago'?,Relationship is ambiguous,['relationship is ambiguous'],relationship is ambiguous,['relationship is ambiguous']
Bobby Darin,record label,Atco Records,1,Q311267,P264,Q585643,What is the relationship between 'Bobby Darin' and 'Atco Records'?,'Bobby Darin' [record label] 'Atco Records',['record label'],record label,"['True. Reason: Bobby Darin was signed to Atco Records in the 1960s, releasing several successful albums under the label.']"
Gloria Trevi,country of citizenship,Japan,0,Q388035,P27,Q17,What is the relationship between 'Gloria Trevi' and 'Japan'?,Relationship is ambiguous,['relationship is ambiguous'],relationship is ambiguous,['relationship is ambiguous']
Claudio Magris,genre,essay,1,Q274404,P136,Q35760,What is the relationship between 'Claudio Magris' and 'essay'?,'Claudio Magris' [genre] 'essay',['genre'],genre,['False. Reason: Claudio Magris is an Italian author known for writing primarily in the genre of novel and non-fiction rather than essays.']
Natasha Shneider,country of citizenship,India,0,Q432421,P27,Q668,What is the relationship between 'Natasha Shneider' and 'India'?,Relationship is ambiguous,['relationship is ambiguous'],relationship is ambiguous,['relationship is ambiguous']
Anatole Abragam,"languages spoken, written, or signed",German,0,Q487491,P1412,Q188,What is the relationship between 'Anatole Abragam' and 'German'?,Relationship is ambiguous,['relationship is ambiguous'],relationship is ambiguous,['relationship is ambiguous']
Buckminster Fuller,place of death,Rome,0,Q102289,P20,Q220,What is the relationship between 'Buckminster Fuller' and 'Rome'?,Relationship is ambiguous,['relationship is ambiguous'],relationship is ambiguous,['relationship is ambiguous']
